isu_cd,kor_cor_nm,chg_dt,tr_stp_rsn
014590,TLC Leisure,2000/01/06,DELISTING (KOSDAQ)
034270,SS PRIME FD,2000/01/11,DELISTING (KOSDAQ)
034280,MA PARKHYEONJOO FD4,2000/01/11,DELISTING (KOSDAQ)
034320,SSLIFEEMERALDFD1,2000/01/11,DELISTING (KOSDAQ)
034290,MA PARKHYEONJOO FD5,2000/01/11,DELISTING (KOSDAQ)
034260,SS DYNAMIC FD,2000/01/11,DELISTING (KOSDAQ)
034580,Platinum1,2000/01/15,DELISTING (Stock)
011890,JEIL ENT,2000/01/18,DELISTING (KOSDAQ)
006000,NAMSONG DEV,2000/01/18,DELISTING (KOSDAQ)
034430,HV SAFETY FD1,2000/01/27,DELISTING (KOSDAQ)
034440,HVSAFETYFD2,2000/01/27,DELISTING (KOSDAQ)
034350,TWINSCHALLENGEFD,2000/01/27,DELISTING (KOSDAQ)
034450,MAEAGLEFD1,2000/01/27,DELISTING (KOSDAQ)
034460,MAEAGLEFD2,2000/01/27,DELISTING (KOSDAQ)
034560,MA EAGLE FD3,2000/01/27,DELISTING (KOSDAQ)
034470,DWMUTJANGBOGOFD1,2000/01/27,DELISTING (KOSDAQ)
008920,SAMCHUNELEC,2000/01/28,DELISTING (KOSDAQ)
004730,JINRO GEN FOOD,2000/01/29,DELISTING (Stock)
005790,MANDO MACH,2000/02/12,DELISTING (Stock)
034650,KYOBOSUCCESSPARTNER,2000/02/24,DELISTING (KOSDAQ)
034770,SEIAssetKoreaM.F,2000/02/25,DELISTING (Stock)
034840,TwinsVisionFund1,2000/03/24,DELISTING (Stock)
034850,Platinum2,2000/03/25,DELISTING (Stock)
034920,HIGHPROSECUINVCO,2000/03/30,DELISTING (KOSDAQ)
034820,MADREAMFD,2000/03/30,DELISTING (KOSDAQ)
000900,KANGWON IND,2000/04/12,DELISTING (Stock)
034990,PrimePlus1,2000/04/17,DELISTING (Stock)
010110,KOR CHEM,2000/04/17,DELISTING (Stock)
034960,MADREAMFD2,2000/04/19,DELISTING (KOSDAQ)
034570,MA EAGLE FD4,2000/04/19,DELISTING (KOSDAQ)
007840,HYEOPHWA,2000/04/28,DELISTING (KOSDAQ)
035040,Platinum3,2000/04/29,DELISTING (Stock)
018550,HANKUK SAFTY GLAS,2000/05/04,DELISTING (Stock)
035050,PLATINUMTARGET,2000/05/12,DELISTING (Stock)
035340,MillePartnerChalleng,2000/05/20,DELISTING (Stock)
035160,PRIMEPLUS2,2000/05/25,DELISTING (KOSDAQ)
007100,HONAM FOOD,2000/05/27,DELISTING (Stock)
007090,DAEDONGMUTSVG&FIN,2000/05/29,DELISTING (KOSDAQ)
022510,DONGHO ELEC,2000/06/07,DELISTING (KOSDAQ)
018720,DONGYANG IND,2000/06/07,DELISTING (KOSDAQ)
022770,KK PRECSN,2000/06/07,DELISTING (KOSDAQ)
007930,DAESHIN PETRO,2000/06/07,DELISTING (KOSDAQ)
027610,DAIRYUNG IND,2000/06/07,DELISTING (KOSDAQ)
013900,DOOWON HEVY IND,2000/06/07,DELISTING (KOSDAQ)
024920,DONGSHIN STL,2000/06/07,DELISTING (KOSDAQ)
017620,LINE CONST,2000/06/07,DELISTING (KOSDAQ)
013850,GYOHA IND,2000/06/07,DELISTING (KOSDAQ)
012010,SAMSAN,2000/06/07,DELISTING (KOSDAQ)
025150,SAMJOO CONST,2000/06/07,DELISTING (KOSDAQ)
011870,LT SAMBO,2000/06/07,DELISTING (KOSDAQ)
005370,WONJIN,2000/06/07,DELISTING (KOSDAQ)
003430,UGIN CHEM,2000/06/07,DELISTING (KOSDAQ)
001850,LIMKWANG ENG & CONS,2000/06/07,DELISTING (KOSDAQ)
010810,JUNGIL ENVR & CLEAN,2000/06/07,DELISTING (KOSDAQ)
013320,SAMKYUNG PRECSN,2000/06/07,DELISTING (KOSDAQ)
014090,SC OPTICOM,2000/06/07,DELISTING (KOSDAQ)
017740,JOOWHA IND,2000/06/07,DELISTING (KOSDAQ)
035320,MAALBATROSSFD2,2000/06/15,DELISTING (KOSDAQ)
035300,MASILKROADFD,2000/06/15,DELISTING (KOSDAQ)
035330,MADREAMFD3,2000/06/15,DELISTING (KOSDAQ)
035590,MIDAS GROWTH FUND1,2000/06/24,DELISTING (Stock)
035310,MASILKROADFD2,2000/06/29,DELISTING (KOSDAQ)
002940,KYUNGDONG IND,2000/06/30,DELISTING (Stock)
000840,HANKOOKBELT,2000/06/30,DELISTING (Stock)
005580,SAMICK CORP,2000/06/30,DELISTING (Stock)
001350,DAIHAN WOOL TEXTL,2000/06/30,DELISTING (Stock)
035470,MADREAMFD4,2000/07/04,DELISTING (KOSDAQ)
006300,TaejonMS&F,2000/07/07,DELISTING (KOSDAQ)
035670,MPC Conver 1,2000/07/19,DELISTING (KOSDAQ)
035680,MPC Growth 2,2000/07/19,DELISTING (KOSDAQ)
034330,INVESTIUMSAPPHIRESW,2000/07/19,DELISTING (KOSDAQ)
034340,INVESTIUMSAPPHIREGR,2000/07/19,DELISTING (KOSDAQ)
035530,PRIMEGROWTH,2000/07/19,DELISTING (KOSDAQ)
035520,SAMSUNGGRANDPRIXCON,2000/07/19,DELISTING (KOSDAQ)
035540,MAPARKHYEONJOODREAM,2000/07/19,DELISTING (KOSDAQ)
035880,MIDAS ASSET ALLOCAT,2000/07/19,DELISTING (KOSDAQ)
035410,PRIMEPLUS3,2000/07/19,DELISTING (KOSDAQ)
026240,DONGNAM LEASE,2000/07/28,DELISTING (KOSDAQ)
035700,PARKHYEONJOODREAMFD,2000/08/01,DELISTING (KOSDAQ)
035790,PARKHYEONJOODREAMFU,2000/08/08,DELISTING (KOSDAQ)
036390,DAISHINBULLFUND1,2000/08/14,DELISTING (Stock)
035940,SEIGROWTH EQ,2000/08/22,DELISTING (KOSDAQ)
035860,PARKHYEONJOO DREAM,2000/08/22,DELISTING (KOSDAQ)
035820,MIRAEASSETCLEANBOND,2000/08/22,DELISTING (KOSDAQ)
036040,MIDASSWITCHFUND1,2000/08/22,DELISTING (KOSDAQ)
036330,REGENT MUTUAL OAA FD,2000/08/22,DELISTING (KOSDAQ)
036430,DIMEMEISTERCONVERTE,2000/08/22,DELISTING (KOSDAQ)
036440,DIMEMEISTERPORTFOLI,2000/08/22,DELISTING (KOSDAQ)
016390,NARA BKG,2000/08/29,DELISTING (Stock)
035970,Kyobo Growth,2000/09/05,DELISTING (KOSDAQ)
035980,KYOBOSPC&CBONDFD,2000/09/05,DELISTING (KOSDAQ)
036310,MIRAEASSETCLEANBOND,2000/09/05,DELISTING (KOSDAQ)
036400,MIDASHITECHGROWTHFD,2000/09/05,DELISTING (KOSDAQ)
005410,SHINKWANG IND,2000/09/09,DELISTING (Stock)
034760,HAWKEYESSECUINVCO,2000/09/19,DELISTING (KOSDAQ)
036300,MIRAEASSETSAAFD1,2000/09/19,DELISTING (KOSDAQ)
011650,LGIC,2000/09/20,DELISTING (Stock)
036650,SILK ASSET2,2000/09/26,DELISTING (KOSDAQ)
036970,Regentgrowth,2000/09/26,DELISTING (KOSDAQ)
036870,CHANGAHNFUND1,2000/09/30,DELISTING (Stock)
036960,YURIE P.I.1,2000/10/04,DELISTING (KOSDAQ)
036950,YURIE M.N.1,2000/10/04,DELISTING (KOSDAQ)
037520,YURIE I.P.1,2000/10/04,DELISTING (KOSDAQ)
037530,YURIE S.A.1,2000/10/04,DELISTING (KOSDAQ)
036780,ALBATROSS 3,2000/10/17,DELISTING (KOSDAQ)
037040,SILK ASSET 3,2000/10/24,DELISTING (KOSDAQ)
038270,KookminOptimumSwitch,2000/11/01,DELISTING (Stock)
037430,REGENTPRO,2000/11/07,DELISTING (KOSDAQ)
037190,EAGLE 5,2000/11/07,DELISTING (KOSDAQ)
037180,ALBATROSS 4,2000/11/07,DELISTING (KOSDAQ)
037670,Globalasset,2000/11/07,DELISTING (KOSDAQ)
037480,PHJ GROWTH 2,2000/11/24,DELISTING (Stock)
038020,Worldgrowth1,2000/11/28,DELISTING (KOSDAQ)
037490,PHJ ASSET 1,2000/11/28,DELISTING (KOSDAQ)
015060,MIJU,2000/11/28,DELISTING (KOSDAQ)
038310,MidasSwitch2,2000/11/28,DELISTING (KOSDAQ)
037360,KTB SWITCH 1,2000/11/28,DELISTING (KOSDAQ)
006160,SHINWHA ENG & CONST,2000/12/12,DELISTING (Stock)
022060,SAMSUNG ITS,2000/12/13,DELISTING (KOSDAQ)
038030,PHJGROWTH5,2000/12/19,DELISTING (KOSDAQ)
037780,PHJGROWTH4,2000/12/19,DELISTING (KOSDAQ)
037770,PHJGROWTH3,2000/12/19,DELISTING (KOSDAQ)
002080,BYUCKSAN DEV,2000/12/22,DELISTING (Stock)
039050,MIDASHITECH2,2001/01/09,DELISTING (KOSDAQ)
038770,GlobalHi1,2001/01/09,DELISTING (KOSDAQ)
038380,CHANG&AHN2,2001/01/09,DELISTING (KOSDAQ)
038480,PHJGROWTH6,2001/01/16,DELISTING (KOSDAQ)
039270,REGENT BICHIT,2001/01/16,DELISTING (KOSDAQ)
014740,KUMHO CHEM,2001/01/16,DELISTING (Stock)
008640,WOOSUNG CONST,2001/01/20,DELISTING (Stock)
039170,GENGHISKHAN1,2001/01/26,DELISTING (KOSDAQ)
039180,DongwonBNP2,2001/01/30,DELISTING (KOSDAQ)
039920,MIDAS HISWI,2001/01/30,DELISTING (KOSDAQ)
039280,YURIEE.S.,2001/01/30,DELISTING (KOSDAQ)
039160,Worldgrowth2,2001/01/30,DELISTING (KOSDAQ)
039520,Platinum2000,2001/02/06,DELISTING (KOSDAQ)
039380,OPT2,2001/02/06,DELISTING (KOSDAQ)
038940,PHJGROWTH7,2001/02/06,DELISTING (KOSDAQ)
038580,MIRAEHIGH1,2001/02/06,DELISTING (KOSDAQ)
040520,MidasHitech3,2001/02/06,DELISTING (KOSDAQ)
038760,KTBSWITCH41,2001/02/06,DELISTING (KOSDAQ)
039720,CJFrontier,2001/02/06,DELISTING (KOSDAQ)
008690,BS Hanyang,2001/02/07,DELISTING (Stock)
024960,YEUNGNAM MERC BKG,2001/02/10,DELISTING (Stock)
008990,CENTRALBKG,2001/02/10,DELISTING (Stock)
012710,H&S Investment Bank,2001/02/10,DELISTING (Stock)
011260,KOREA MERC BK,2001/02/10,DELISTING (Stock)
039210,MIRAEHIGH2,2001/02/20,DELISTING (KOSDAQ)
039220,MIRAEIT1,2001/02/20,DELISTING (KOSDAQ)
040380,SEI FAMILY GRO,2001/02/27,DELISTING (KOSDAQ)
040270,MIRAEHIGH3,2001/02/27,DELISTING (KOSDAQ)
040260,MIRAEIT2,2001/02/27,DELISTING (KOSDAQ)
039540,MIDAS SPECIAL,2001/03/06,DELISTING (KOSDAQ)
040860,MidasKoKo,2001/03/13,DELISTING (KOSDAQ)
040950,MIRAEHIGH4,2001/03/13,DELISTING (KOSDAQ)
040940,MIRAEIT3,2001/03/13,DELISTING (KOSDAQ)
034190,KOSPIDER,2001/03/14,DELISTING (Stock)
011290,KABOOL TEXTILES,2001/03/20,DELISTING (Stock)
009050,ALUM KOR,2001/03/30,DELISTING (Stock)
045090,OPTI GROWTH 1,2001/04/03,DELISTING (KOSDAQ)
042460,SilkGrowth1,2001/04/03,DELISTING (KOSDAQ)
043700,VIKING 1,2001/04/03,DELISTING (KOSDAQ)
043040,Midas 30,2001/04/03,DELISTING (KOSDAQ)
042310,KTBKOSDAQ1,2001/04/03,DELISTING (KOSDAQ)
042300,KTBDREAM1,2001/04/03,DELISTING (KOSDAQ)
015620,HyundaiUlsanMerchant,2001/04/23,DELISTING (Stock)
043350,REGENT KOSDAQ,2001/04/24,DELISTING (KOSDAQ)
043380,PLATINUM 1,2001/04/24,DELISTING (KOSDAQ)
001400,DONGSAN C & G,2001/04/24,DELISTING (Stock)
043400,SilkGrowth2,2001/04/24,DELISTING (KOSDAQ)
014080,NEWMAX,2001/04/26,DELISTING (Stock)
017320,TAEILMEDIA,2001/04/26,DELISTING (Stock)
044410,MiraeAlba1,2001/05/02,DELISTING (KOSDAQ)
044240,SEI PRIME BOND,2001/05/08,DELISTING (KOSDAQ)
044750,DimeB.F.1,2001/05/08,DELISTING (KOSDAQ)
044400,KTB SWITCH 32,2001/05/08,DELISTING (KOSDAQ)
002740,ORIENTAL CHEM,2001/05/18,DELISTING (Stock)
030700,KTM.COM,2001/05/21,DELISTING (KOSDAQ)
003810,DAEWOO,2001/05/23,DELISTING (Stock)
000200,DAEWOO HVYIND,2001/05/23,DELISTING (Stock)
017090,POONGYUN,2001/05/25,DELISTING (KOSDAQ)
033300,BOSUNG INTER,2001/05/25,DELISTING (KOSDAQ)
045080,GREEN ASSET 1,2001/05/29,DELISTING (KOSDAQ)
044890,Hanarum1,2001/06/05,DELISTING (KOSDAQ)
000280,DONGAH CONST,2001/06/07,DELISTING (Stock)
045860,SILK GROWTH 3,2001/06/12,DELISTING (KOSDAQ)
045800,KTBDOUBLE1,2001/06/19,DELISTING (KOSDAQ)
045790,SEI PB BALANCE,2001/06/19,DELISTING (KOSDAQ)
044740,PLATINUM2,2001/06/19,DELISTING (KOSDAQ)
045870,CLEAN 3,2001/06/19,DELISTING (KOSDAQ)
046520,YURIE NEW ES,2001/06/19,DELISTING (KOSDAQ)
046820,HANARUM 2,2001/07/03,DELISTING (KOSDAQ)
022870,WOORI-CREDITCARD,2001/07/07,DELISTING (KOSDAQ)
017120,BAROQUE FURN,2001/07/10,DELISTING (Stock)
047890,MIRAE STOCK 1,2001/07/10,DELISTING (KOSDAQ)
015650,RegentMercBk,2001/07/16,DELISTING (Stock)
030710,Dongamutsvg&fin,2001/07/28,DELISTING (Stock)
035930,SEI BOND F,2001/08/07,DELISTING (KOSDAQ)
048660,MIDASARBITRA,2001/08/14,DELISTING (KOSDAQ)
025080,Hana F&I,2001/08/24,DELISTING (KOSDAQ)
015580,SHINHAN BANK,2001/09/10,DELISTING (Stock)
003320,SHINHAN SECU,2001/09/10,DELISTING (Stock)
049990,SEIPLUS,2001/09/11,DELISTING (KOSDAQ)
023780,SH CAPITAL,2001/09/13,DELISTING (KOSDAQ)
015880,TAEHWA SHOPPING,2001/09/22,DELISTING (Stock)
007420,HAEDONG SVG & FIN,2001/10/13,DELISTING (Stock)
049850,CLEAN4,2001/10/16,DELISTING (KOSDAQ)
050350,DIME1,2001/10/30,DELISTING (KOSDAQ)
027460,HOUSING & COMCL BK,2001/11/09,DELISTING (Stock)
023130,KOOKMIN BK,2001/11/09,DELISTING (Stock)
000310,HAITAI CONF,2001/11/10,DELISTING (Stock)
051070,SEIPLUSBALANCEDFUND,2001/11/19,DELISTING (KOSDAQ)
015150,DASAN,2001/11/21,DELISTING (KOSDAQ)
002130,PEERES COSM,2001/12/05,DELISTING (Stock)
011450,SONGWONCOLOR,2001/12/05,DELISTING (Stock)
008980,TONGYANG INVEST,2001/12/20,DELISTING (Stock)
004290,IK ENTERPRISES,2002/01/18,DELISTING (Stock)
001690,Doosan Techpack,2002/01/18,DELISTING (Stock)
025840,LADY,2002/01/23,DELISTING (Stock)
051960,DYMECBBF2,2002/01/23,DELISTING (KOSDAQ)
008530,ILEUN SECU,2002/02/20,DELISTING (Stock)
039500,MINE,2002/03/15,DELISTING (KOSDAQ)
052530,YURIE SAFE SWITCH E,2002/03/28,DELISTING (KOSDAQ)
002180,SAMICK CO,2002/03/29,DELISTING (Stock)
012260,EZCOM,2002/04/03,DELISTING (Stock)
004460,KOHAP,2002/04/12,DELISTING (Stock)
004390,ORION ELEC,2002/04/13,DELISTING (Stock)
007410,DAEWOO ELEC,2002/04/13,DELISTING (Stock)
033070,SH CONTROLS,2002/04/18,DELISTING (KOSDAQ)
001920,HANBO IRON & STL,2002/04/19,DELISTING (Stock)
016550,HB TEL,2002/04/19,DELISTING (Stock)
008480,POSNIC,2002/04/19,DELISTING (Stock)
003110,DAEIL CHEM,2002/04/19,DELISTING (Stock)
005060,DAEWOO TELECOM,2002/04/19,DELISTING (Stock)
013630,HUMANINNOTEK,2002/04/20,DELISTING (KOSDAQ)
011510,CHONGGU,2002/04/20,DELISTING (Stock)
002470,DONGSUNG,2002/04/20,DELISTING (Stock)
002580,SAMMI CORP,2002/04/20,DELISTING (Stock)
008440,INEX,2002/04/23,DELISTING (Stock)
053530,MIDAS ARBITRAGE BAL,2002/04/23,DELISTING (KOSDAQ)
006290,"SK INCHEON OIL Co.,L",2002/04/23,DELISTING (Stock)
052520,SEI ACE BALANCED FU,2002/04/23,DELISTING (KOSDAQ)
012670,HWANYOUNG STL,2002/04/27,DELISTING (Stock)
013090,ETRONICS,2002/04/27,DELISTING (Stock)
000030,Woori Bank,2002/04/27,DELISTING (Stock)
018360,MEDISON,2002/04/27,DELISTING (Stock)
004420,TONGKOOK CORP,2002/04/27,DELISTING (Stock)
001110,DAENONG,2002/04/27,DELISTING (Stock)
004110,DAESUN DISTG,2002/04/27,DELISTING (Stock)
003260,SUKWANG,2002/04/30,DELISTING (Stock)
027560,DEMING,2002/05/03,DELISTING (KOSDAQ)
035030,PIONEER,2002/05/18,DELISTING (KOSDAQ)
018570,SUNJINMTL,2002/05/21,DELISTING (Stock)
066030,MIRAE ASSET PB FUND2,2002/05/21,DELISTING (KOSDAQ)
044570,HANB ELEC & TELE,2002/06/07,DELISTING (KOSDAQ)
034300,Shinsegae E&C,2002/06/17,DELISTING (KOSDAQ)
058910,YURI SAFE LONG SHOR,2002/07/03,DELISTING (KOSDAQ)
037740,DIGITEL,2002/07/08,DELISTING (KOSDAQ)
021930,KN LEASE,2002/07/19,DELISTING (KOSDAQ)
022780,OPTIONAL V,2002/07/31,DELISTING (KOSDAQ)
001030,REGENT INS,2002/08/10,DELISTING (Stock)
063680,MIRAE ASSET PREMIER,2002/08/19,DELISTING (KOSDAQ)
060580,MIDASAF,2002/09/14,DELISTING (KOSDAQ)
013250,DAEYANGMUTSVG&F,2002/10/04,DELISTING (Stock)
020490,ICCHEM,2002/10/11,DELISTING (KOSDAQ)
024080,KARIS SOFT,2002/10/17,DELISTING (KOSDAQ)
040780,UNICNT,2002/10/18,DELISTING (KOSDAQ)
009330,SAMAEINDUS,2002/10/22,DELISTING (Stock)
021740,STIC,2002/10/24,DELISTING (KOSDAQ)
017210,KONICS,2002/11/14,DELISTING (KOSDAQ)
042470,SIMS VALLEY,2002/11/16,DELISTING (KOSDAQ)
033040,SELIM I TECH,2002/11/26,DELISTING (KOSDAQ)
064910,GOLBAL POWER,2002/11/27,DELISTING (KOSDAQ)
049790,SOFTWIN,2002/11/28,DELISTING (KOSDAQ)
014040,GPS,2002/11/29,DELISTING (Stock)
007360,HANA BK,2002/12/13,DELISTING (Stock)
030970,HCBLEASE,2002/12/21,DELISTING (KOSDAQ)
038370,KTBVENTURE1,2003/01/10,DELISTING (KOSDAQ)
038280,PIONEER V & K,2003/01/10,DELISTING (KOSDAQ)
051990,YURIE CREDIT BOND B,2003/01/21,DELISTING (KOSDAQ)
038520,FINESUNTRONIX,2003/03/07,DELISTING (KOSDAQ)
002610,LGEI,2003/03/11,DELISTING (Stock)
037280,SYSCOM,2003/03/29,DELISTING (KOSDAQ)
060840,TAEYONG TELSTAR,2003/04/02,DELISTING (KOSDAQ)
045240,NEW C & C,2003/04/04,DELISTING (KOSDAQ)
027890,STANDARDTELE,2003/04/05,DELISTING (KOSDAQ)
039370,KTBVENTURE2,2003/04/05,DELISTING (KOSDAQ)
020860,LITTAUER TC,2003/04/11,DELISTING (KOSDAQ)
034970,ALLEVER,2003/04/15,DELISTING (KOSDAQ)
053960,AEL,2003/04/15,DELISTING (KOSDAQ)
009840,KABOOL,2003/04/16,DELISTING (Stock)
006610,KYONGNAM BK,2003/04/16,DELISTING (Stock)
010330,LAMY COSM,2003/04/16,DELISTING (Stock)
037410,KOREA LINK,2003/04/16,DELISTING (KOSDAQ)
005770,KWANGJU BANK,2003/04/16,DELISTING (Stock)
005560,JS Cable,2003/04/24,DELISTING (Stock)
040750,VELOCEPIANO,2003/04/24,DELISTING (KOSDAQ)
032780,TERRA,2003/04/25,DELISTING (KOSDAQ)
034980,ERONTECH,2003/04/30,DELISTING (KOSDAQ)
067410,MDAFIII,2003/05/08,DELISTING (KOSDAQ)
002050,KYONGHYANG CONST,2003/05/10,DELISTING (Stock)
011840,KEMONGSA PUBLISHING,2003/05/16,DELISTING (Stock)
045550,YuriFrontier,2003/05/23,DELISTING (KOSDAQ)
045070,Pioneer2,2003/05/23,DELISTING (KOSDAQ)
045280,MIDAS GRONINC,2003/06/11,DELISTING (KOSDAQ)
037200,DASAN C & I,2003/06/19,DELISTING (KOSDAQ)
046930,TIME,2003/07/04,DELISTING (KOSDAQ)
005890,DONGWON SECU,2003/07/21,DELISTING (Stock)
035430,DREAMLINE CO,2003/09/19,DELISTING (KOSDAQ)
003980,HANIL SYNTH FIBR,2003/09/24,DELISTING (Stock)
009790,HUNIX,2003/10/02,DELISTING (Stock)
001150,STC,2003/10/02,DELISTING (Stock)
012720,LIG E&C,2003/10/02,DELISTING (Stock)
031150,KOOKMIN CREDIT CARD,2003/10/10,DELISTING (KOSDAQ)
032150,EUTTEUM.S.BK,2003/10/15,DELISTING (KOSDAQ)
000980,KUKDONG ENG & CONST,2003/10/15,DELISTING (Stock)
045920,HWARIM MODE,2003/10/17,DELISTING (KOSDAQ)
012270,DONGSHIN,2003/10/23,DELISTING (Stock)
032600,AD MOBILE,2003/10/30,DELISTING (KOSDAQ)
010510,ILJIN,2003/11/05,DELISTING (Stock)
008780,I INFRA,2003/11/08,DELISTING (KOSDAQ)
018020,STARLEASE,2003/11/18,DELISTING (Stock)
021090,CHEMI GLASS,2003/12/20,DELISTING (KOSDAQ)
008750,BUMYANG FOOD,2003/12/27,DELISTING (Stock)
067700,MIRAEASSET ORIENTAL,2004/01/05,DELISTING (KOSDAQ)
018590,KNC,2004/01/24,DELISTING (Stock)
022610,HANYIL,2004/02/07,DELISTING (KOSDAQ)
019930,KIRA INFO & COMM,2004/02/12,DELISTING (Stock)
052540,SelectivPlus,2004/03/08,DELISTING (KOSDAQ)
003900,HAITAI DAIRY,2004/03/11,DELISTING (Stock)
038400,KOREAEXCHANGEBANKCRE,2004/03/16,DELISTING (Stock)
037600,CMOS,2004/03/24,DELISTING (KOSDAQ)
056140,LEADER COMM,2004/03/30,DELISTING (KOSDAQ)
004190,SMARTEL,2004/03/31,DELISTING (Stock)
033210,SAMWHA ENG,2004/03/31,DELISTING (KOSDAQ)
040130,NPLEX,2004/04/03,DELISTING (KOSDAQ)
054530,SHINHAN SIT,2004/04/03,DELISTING (KOSDAQ)
053200,DEESYS,2004/04/03,DELISTING (KOSDAQ)
055000,DSIT,2004/04/03,DELISTING (KOSDAQ)
039580,PIC OSOFT,2004/04/07,DELISTING (KOSDAQ)
031970,M BY N,2004/04/07,DELISTING (KOSDAQ)
035960,BIOSYS,2004/04/07,DELISTING (KOSDAQ)
047610,WORLDTELECOM,2004/04/08,DELISTING (KOSDAQ)
037010,NETCOM STOR,2004/04/08,DELISTING (KOSDAQ)
036720,HANBITNET,2004/04/08,DELISTING (KOSDAQ)
039390,WILLTECH,2004/04/09,DELISTING (KOSDAQ)
039000,ST,2004/04/13,DELISTING (KOSDAQ)
037750,NSER,2004/04/13,DELISTING (KOSDAQ)
027440,COREA,2004/04/14,DELISTING (KOSDAQ)
038050,TRAFFIC ITS,2004/04/22,DELISTING (KOSDAQ)
037730,3R,2004/04/22,DELISTING (KOSDAQ)
010150,HANKOOKCORE,2004/04/23,DELISTING (Stock)
002850,YOUNGPOONG MNG & CO,2004/04/23,DELISTING (Stock)
